date,member_count,required_member_count,status
2013-02-21,26,200,BLOCKED
2013-02-22,26,200,BLOCKED
2013-02-25,26,200,BLOCKED
2013-02-26,26,200,BLOCKED
2013-02-27,26,200,BLOCKED
2013-02-28,26,200,BLOCKED
2013-03-01,26,200,BLOCKED
2013-03-04,26,200,BLOCKED
2013-03-05,26,200,BLOCKED
2013-03-06,26,200,BLOCKED
2013-03-07,26,200,BLOCKED
2013-03-08,26,200,BLOCKED
2013-03-11,26,200,BLOCKED
2013-03-12,26,200,BLOCKED
2013-03-13,26,200,BLOCKED
2013-03-14,26,200,BLOCKED
2013-03-15,26,200,BLOCKED
2013-03-18,26,200,BLOCKED
2013-03-19,27,200,BLOCKED
2013-03-20,27,200,BLOCKED
2013-03-21,27,200,BLOCKED
2013-03-22,27,200,BLOCKED
2013-03-25,27,200,BLOCKED
2013-03-26,27,200,BLOCKED
2013-03-28,27,200,BLOCKED
2013-04-01,36,200,BLOCKED
2013-04-02,36,200,BLOCKED
2013-04-03,36,200,BLOCKED
2013-04-04,36,200,BLOCKED
2013-04-05,36,200,BLOCKED
2013-04-08,36,200,BLOCKED
2013-04-09,36,200,BLOCKED
2013-04-10,36,200,BLOCKED
2013-04-11,36,200,BLOCKED
2013-04-12,36,200,BLOCKED
2013-04-15,36,200,BLOCKED
2013-04-16,36,200,BLOCKED
2013-04-17,37,200,BLOCKED
2013-04-18,37,200,BLOCKED
2013-04-22,37,200,BLOCKED
2013-04-23,37,200,BLOCKED
2013-04-25,37,200,BLOCKED
2013-04-26,37,200,BLOCKED
2013-04-29,37,200,BLOCKED
2013-04-30,37,200,BLOCKED
2013-05-02,37,200,BLOCKED
2013-05-03,37,200,BLOCKED
2013-05-06,37,200,BLOCKED
2013-05-07,37,200,BLOCKED
2013-05-08,37,200,BLOCKED
2013-05-09,37,200,BLOCKED
2013-05-10,37,200,BLOCKED
2013-05-13,37,200,BLOCKED
2013-05-14,37,200,BLOCKED
2013-05-15,37,200,BLOCKED
2013-05-16,37,200,BLOCKED
2013-05-17,37,200,BLOCKED
2013-05-20,37,200,BLOCKED
2013-05-21,37,200,BLOCKED
2013-05-22,37,200,BLOCKED
2013-05-23,37,200,BLOCKED
2013-05-24,37,200,BLOCKED
2013-05-27,37,200,BLOCKED
2013-05-28,37,200,BLOCKED
2013-05-29,37,200,BLOCKED
2013-05-30,37,200,BLOCKED
2013-05-31,37,200,BLOCKED
2013-06-03,37,200,BLOCKED
2013-06-04,37,200,BLOCKED
2013-06-05,37,200,BLOCKED
2013-06-06,37,200,BLOCKED
2013-06-07,37,200,BLOCKED
2013-06-10,37,200,BLOCKED
2013-06-11,37,200,BLOCKED
2013-06-12,37,200,BLOCKED
2013-06-13,37,200,BLOCKED
2013-06-14,37,200,BLOCKED
2013-06-17,37,200,BLOCKED
2013-06-18,37,200,BLOCKED
2013-06-19,37,200,BLOCKED
2013-06-20,37,200,BLOCKED
2013-06-21,37,200,BLOCKED
2013-06-24,37,200,BLOCKED
2013-06-25,37,200,BLOCKED
2013-06-26,37,200,BLOCKED
2013-06-27,37,200,BLOCKED
2013-06-28,37,200,BLOCKED
2013-07-01,37,200,BLOCKED
2013-07-02,37,200,BLOCKED
2013-07-03,37,200,BLOCKED
2013-07-04,37,200,BLOCKED
2013-07-05,37,200,BLOCKED
2013-07-08,37,200,BLOCKED
2013-07-09,37,200,BLOCKED
2013-07-10,37,200,BLOCKED
2013-07-11,37,200,BLOCKED
2013-07-12,37,200,BLOCKED
2013-07-15,37,200,BLOCKED
2013-07-16,37,200,BLOCKED
2013-07-17,37,200,BLOCKED
2013-07-18,37,200,BLOCKED
2013-07-19,37,200,BLOCKED
2013-07-22,37,200,BLOCKED
2013-07-23,37,200,BLOCKED
2013-07-24,37,200,BLOCKED
2013-07-25,37,200,BLOCKED
2013-07-26,37,200,BLOCKED
2013-07-29,37,200,BLOCKED
2013-07-30,37,200,BLOCKED
2013-07-31,37,200,BLOCKED
2013-08-01,37,200,BLOCKED
2013-08-02,37,200,BLOCKED
2013-08-05,37,200,BLOCKED
2013-08-06,37,200,BLOCKED
2013-08-07,37,200,BLOCKED
2013-08-08,37,200,BLOCKED
2013-08-12,37,200,BLOCKED
2013-08-13,37,200,BLOCKED
2013-08-14,37,200,BLOCKED
2013-08-16,37,200,BLOCKED
2013-08-19,37,200,BLOCKED
2013-08-20,37,200,BLOCKED
2013-08-21,37,200,BLOCKED
2013-08-22,37,200,BLOCKED
2013-08-23,37,200,BLOCKED
2013-08-26,37,200,BLOCKED
2013-08-27,37,200,BLOCKED
2013-08-28,37,200,BLOCKED
2013-08-29,37,200,BLOCKED
2013-08-30,37,200,BLOCKED
2013-09-02,37,200,BLOCKED
2013-09-03,37,200,BLOCKED
2013-09-04,37,200,BLOCKED
2013-09-05,37,200,BLOCKED
2013-09-06,37,200,BLOCKED
2013-09-10,37,200,BLOCKED
2013-09-11,37,200,BLOCKED
2013-09-12,37,200,BLOCKED
2013-09-13,37,200,BLOCKED
2013-09-16,37,200,BLOCKED
2013-09-17,37,200,BLOCKED
2013-09-18,37,200,BLOCKED
2013-09-19,37,200,BLOCKED
2013-09-20,37,200,BLOCKED
2013-09-23,37,200,BLOCKED
2013-09-24,37,200,BLOCKED
2013-09-25,37,200,BLOCKED
2013-09-26,37,200,BLOCKED
2013-09-27,44,200,BLOCKED
2013-09-30,44,200,BLOCKED
2013-10-01,44,200,BLOCKED
2013-10-03,44,200,BLOCKED
2013-10-04,44,200,BLOCKED
2013-10-07,44,200,BLOCKED
2013-10-08,44,200,BLOCKED
2013-10-09,44,200,BLOCKED
2013-10-10,44,200,BLOCKED
2013-10-11,44,200,BLOCKED
2013-10-14,44,200,BLOCKED
2013-10-15,44,200,BLOCKED
2013-10-17,44,200,BLOCKED
2013-10-18,44,200,BLOCKED
2013-10-21,44,200,BLOCKED
2013-10-22,44,200,BLOCKED
2013-10-23,44,200,BLOCKED
2013-10-24,44,200,BLOCKED
2013-10-25,44,200,BLOCKED
2013-10-28,44,200,BLOCKED
2013-10-29,44,200,BLOCKED
2013-10-30,44,200,BLOCKED
2013-10-31,44,200,BLOCKED
2013-11-01,45,200,BLOCKED
2013-11-05,45,200,BLOCKED
2013-11-06,45,200,BLOCKED
2013-11-07,45,200,BLOCKED
2013-11-08,45,200,BLOCKED
2013-11-11,45,200,BLOCKED
2013-11-12,45,200,BLOCKED
2013-11-13,45,200,BLOCKED
2013-11-14,45,200,BLOCKED
2013-11-18,46,200,BLOCKED
2013-11-19,46,200,BLOCKED
2013-11-20,46,200,BLOCKED
2013-11-21,46,200,BLOCKED
2013-11-22,46,200,BLOCKED
2013-11-25,46,200,BLOCKED
2013-11-26,46,200,BLOCKED
2013-11-27,46,200,BLOCKED
2013-11-28,46,200,BLOCKED
2013-11-29,46,200,BLOCKED
2013-12-02,46,200,BLOCKED
2013-12-03,46,200,BLOCKED
2013-12-04,46,200,BLOCKED
2013-12-05,46,200,BLOCKED
2013-12-06,46,200,BLOCKED
2013-12-09,46,200,BLOCKED
2013-12-10,46,200,BLOCKED
2013-12-11,46,200,BLOCKED
2013-12-12,46,200,BLOCKED
2013-12-13,46,200,BLOCKED
2013-12-16,46,200,BLOCKED
2013-12-17,46,200,BLOCKED
2013-12-18,46,200,BLOCKED
2013-12-19,46,200,BLOCKED
2013-12-20,46,200,BLOCKED
2013-12-23,46,200,BLOCKED
2013-12-24,46,200,BLOCKED
2013-12-26,46,200,BLOCKED
