instrument_id,isin,symbol,resolution_status
NSE-ISIN:INE850B01026,INE850B01026,ABMKNO,CERTIFIED
NSE-ISIN:INE055A01016,INE055A01016,ABREL,CERTIFIED
NSE-ISIN:INE189B01011,INE189B01011,INEABS,CERTIFIED
NSE-ISIN:INE404A01024,INE404A01024,ABSLAMC,CERTIFIED
NSE-ISIN:INE012A01025,INE012A01025,ACC,CERTIFIED
NSE-ISIN:INE793A01012,INE793A01012,ACCELYA,CERTIFIED
NSE-ISIN:INE648Z01015,INE648Z01015,ACCURACY,CERTIFIED
NSE-ISIN:INE648Z01023,INE648Z01023,ACCURACY,CERTIFIED
NSE-ISIN:INE731H01025,INE731H01025,ACE,CERTIFIED
NSE-ISIN:INE543V01017,INE543V01017,ACEINTEG,CERTIFIED
NSE-ISIN:INE451C01013,INE451C01013,ACGL,CERTIFIED
NSE-ISIN:INE128X01021,INE128X01021,ACI,CERTIFIED
NSE-ISIN:INE703H01016,INE703H01016,HUBTOWN,CERTIFIED
NSE-ISIN:INE666E01020,INE666E01020,ACL,CERTIFIED
NSE-ISIN:INE622W01025,INE622W01025,ACMESOLAR,CERTIFIED
NSE-ISIN:INE055L01013,INE055L01013,ACROPETAL,CERTIFIED
NSE-ISIN:INE482D01024,INE482D01024,CARYSIL,CERTIFIED
NSE-ISIN:INE366C01021,INE366C01021,ACSTECH,CERTIFIED
NSE-ISIN:INE00FF01025,INE00FF01025,ACUTAAS,CERTIFIED
NSE-ISIN:INE931S01010,INE931S01010,ADANIENSOL,CERTIFIED
NSE-ISIN:INE423A01024,INE423A01024,ADANIENT,CERTIFIED
NSE-ISIN:INE423A01024,INE423A01024,ADANIENT,CERTIFIED
NSE-ISIN:INE399L01023,INE399L01023,ATGL,CERTIFIED
NSE-ISIN:INE364U01010,INE364U01010,ADANIGREEN,CERTIFIED
NSE-ISIN:INE742F01042,INE742F01042,ADANIPORTS,CERTIFIED
NSE-ISIN:INE814H01011,INE814H01011,ADANIPOWER,CERTIFIED
NSE-ISIN:INE814H01029,INE814H01029,ADANIPOWER,CERTIFIED
NSE-ISIN:INE931S01010,INE931S01010,ADANIENSOL,CERTIFIED
NSE-ISIN:INE757C01021,INE757C01021,ADDIND,CERTIFIED
NSE-ISIN:INE982B01019,INE982B01019,ADFFOODS,CERTIFIED
NSE-ISIN:INE982B01027,INE982B01027,ADFFOODS,CERTIFIED
NSE-ISIN:INE400H01019,INE400H01019,ADHUNIK,CERTIFIED
NSE-ISIN:INE452L01012,INE452L01012,INCREDIBLE,CERTIFIED
NSE-ISIN:INE959A01019,INE959A01019,FAIRCHEM,CERTIFIED
NSE-ISIN:INE0CHO01012,INE0CHO01012,ADL,CERTIFIED
NSE-ISIN:INE172N01012,INE172N01012,IMAGICAA,CERTIFIED
NSE-ISIN:INE540B01015,INE540B01015,RELMEDIA,CERTIFIED
NSE-ISIN:INE045A01017,INE045A01017,ADOR,CERTIFIED
NSE-ISIN:INE045A01017,INE045A01017,ADOR,CERTIFIED
NSE-ISIN:INE737B01033,INE737B01033,ADROITINFO,CERTIFIED
NSE-ISIN:INE102I01027,INE102I01027,ADSL,CERTIFIED
NSE-ISIN:INE0ALI01010,INE0ALI01010,ADVAIT,CERTIFIED
NSE-ISIN:INE1B0W01010,INE1B0W01010,ADVANCE,CERTIFIED
NSE-ISIN:INE199C01026,INE199C01026,ADVANIHOTR,CERTIFIED
NSE-ISIN:INE045A01017,INE045A01017,ADORWELD,CERTIFIED
NSE-ISIN:INE517H01010,INE517H01010,ADVANTA,CERTIFIED
NSE-ISIN:INE28GN01010,INE28GN01010,ADVENTHTL,CERTIFIED
NSE-ISIN:INE837H01020,INE837H01020,ADVENZYMES,CERTIFIED
NSE-ISIN:INE178T01024,INE178T01024,ADVIKCA,CERTIFIED
NSE-ISIN:INE208C01017,INE208C01017,AEGISCHEM,CERTIFIED
NSE-ISIN:INE208C01025,INE208C01025,AEGISLOG,CERTIFIED
NSE-ISIN:INE208C01025,INE208C01025,AEGISLOG,CERTIFIED
NSE-ISIN:INE0INX01018,INE0INX01018,AEGISVOPAK,CERTIFIED
NSE-ISIN:INE757T01025,INE757T01025,AEPL,CERTIFIED
NSE-ISIN:INE947N01017,INE947N01017,AEQUS,CERTIFIED
NSE-ISIN:INE065D01027,INE065D01027,AEROENTER,CERTIFIED
NSE-ISIN:INE024001021,INE024001021,AEROFLEX,CERTIFIED
NSE-ISIN:INE035801013,INE035801013,AERONEU,CERTIFIED
NSE-ISIN:INE05TO01019,INE05TO01019,AEROPLANE,CERTIFIED
NSE-ISIN:INE0BWX01014,INE0BWX01014,AETHER,CERTIFIED
NSE-ISIN:INE101I01011,INE101I01011,AFCONS,CERTIFIED
NSE-ISIN:INE00WC01019,INE00WC01019,AFFLE,CERTIFIED
NSE-ISIN:INE00WC01027,INE00WC01027,AFFLE,CERTIFIED
NSE-ISIN:INE692Z01013,INE692Z01013,AFFORDABLE,CERTIFIED
NSE-ISIN:INE916Y01027,INE916Y01027,AFIL,CERTIFIED
NSE-ISIN:INE020G01017,INE020G01017,INSPIRISYS,CERTIFIED
NSE-ISIN:INE00ZE01026,INE00ZE01026,AFSL,CERTIFIED
NSE-ISIN:INE796A01023,INE796A01023,AFTEK,CERTIFIED
NSE-ISIN:INE796A01023,INE796A01023,AFTEK,CERTIFIED
NSE-ISIN:INE204E01012,INE204E01012,AGARIND,CERTIFIED
NSE-ISIN:INE943P01029,INE943P01029,AGARWALEYE,CERTIFIED
NSE-ISIN:INE676A01019,INE676A01019,AGCNET,CERTIFIED
NSE-ISIN:INE676A01027,INE676A01027,BBOX,CERTIFIED
NSE-ISIN:INE196B01016,INE196B01016,SHIRPUR-G,CERTIFIED
NSE-ISIN:INE415A01038,INE415A01038,AGI,CERTIFIED
NSE-ISIN:INE976R01033,INE976R01033,AGIIL,CERTIFIED
NSE-ISIN:INE1YPB01014,INE1YPB01014,AGL,CERTIFIED
NSE-ISIN:INE360L01017,INE360L01017,FMNL,CERTIFIED
NSE-ISIN:INE449G01018,INE449G01018,AGRITECH,CERTIFIED
NSE-ISIN:INE135B01014,INE135B01014,AGRODUTCH,CERTIFIED
NSE-ISIN:INE740V01019,INE740V01019,AGROPHOS,CERTIFIED
NSE-ISIN:INE583L01014,INE583L01014,AGSTRA,CERTIFIED
NSE-ISIN:INE0Y8W01025,INE0Y8W01025,AHCL,CERTIFIED
NSE-ISIN:INE00ZE01026,INE00ZE01026,AFSL,CERTIFIED
NSE-ISIN:INE00PV01013,INE00PV01013,AHLADA,CERTIFIED
NSE-ISIN:INE926K01017,INE926K01017,AHLEAST,CERTIFIED
NSE-ISIN:INE758C01029,INE758C01029,AHLUCONT,CERTIFIED
NSE-ISIN:INE915K01010,INE915K01010,AHLWEST,CERTIFIED
NSE-ISIN:INE425A01011,INE425A01011,METALFORGE,CERTIFIED
NSE-ISIN:INE212H01026,INE212H01026,AIAENG,CERTIFIED
NSE-ISIN:INE768E01024,INE768E01024,AICHAMP,CERTIFIED
NSE-ISIN:INE428O01016,INE428O01016,AIFL,CERTIFIED
NSE-ISIN:INE206F01022,INE206F01022,AIIL,CERTIFIED
NSE-ISIN:INE878A01011,INE878A01011,GEPIL,CERTIFIED
NSE-ISIN:INE743C01021,INE743C01021,JSWISPL,CERTIFIED
NSE-ISIN:INE645W01026,INE645W01026,AIRAN,CERTIFIED
NSE-ISIN:INE438H01019,INE438H01019,KFA,CERTIFIED
NSE-ISIN:INE801L01010,INE801L01010,AIROLAM,CERTIFIED
NSE-ISIN:INE031B01015,INE031B01015,AJANTPHARM,CERTIFIED
NSE-ISIN:INE031B01049,INE031B01049,AJANTPHARM,CERTIFIED
NSE-ISIN:INE274Y01021,INE274Y01021,AJAXENGG,CERTIFIED
NSE-ISIN:INE298G01027,INE298G01027,AJMERA,CERTIFIED
NSE-ISIN:INE298G01035,INE298G01035,AJMERA,CERTIFIED
NSE-ISIN:INE820Y01013,INE820Y01013,AJOONI,CERTIFIED
NSE-ISIN:INE820Y01021,INE820Y01021,AJOONI,CERTIFIED
NSE-ISIN:INE737W01013,INE737W01013,AKASH,CERTIFIED
NSE-ISIN:INE701G01012,INE701G01012,AKCAPIT,CERTIFIED
NSE-ISIN:INE00Y801016,INE00Y801016,AKG,CERTIFIED
NSE-ISIN:INE642Z01026,INE642Z01026,AKI,CERTIFIED
NSE-ISIN:INE703H01016,INE703H01016,ACKRUTI,CERTIFIED
NSE-ISIN:INE256Z01025,INE256Z01025,AKSHAR,CERTIFIED
NSE-ISIN:INE542B01011,INE542B01011,AKSHARCHEM,CERTIFIED
NSE-ISIN:INE523B01011,INE523B01011,AKSHOPTFBR,CERTIFIED
NSE-ISIN:INE09XN01023,INE09XN01023,AKUMS,CERTIFIED
NSE-ISIN:INE133A01011,INE133A01011,JSWDULUX,CERTIFIED
NSE-ISIN:INE914E01040,INE914E01040,ALANKIT,CERTIFIED
NSE-ISIN:INE155C01010,INE155C01010,ALBERTDAVD,CERTIFIED
NSE-ISIN:INE428A01015,INE428A01015,ALBK,CERTIFIED
NSE-ISIN:INE964B01033,INE964B01033,ALCHEM,CERTIFIED
NSE-ISIN:INE426A01027,INE426A01027,ALEMBICLTD,CERTIFIED
NSE-ISIN:INE427A01017,INE427A01017,ALFALAVAL,CERTIFIED
NSE-ISIN:INE782D01027,INE782D01027,ALFREDHE,CERTIFIED
NSE-ISIN:INE598D01035,INE598D01035,ALGOQUANT,CERTIFIED
NSE-ISIN:INE062D01024,INE062D01024,ALICON,CERTIFIED
NSE-ISIN:INE03Q201024,INE03Q201024,ALIVUS,CERTIFIED
NSE-ISIN:INE773I01017,INE773I01017,ALKALI,CERTIFIED
NSE-ISIN:INE540L01014,INE540L01014,ALKEM,CERTIFIED
NSE-ISIN:INE150B01013,INE150B01013,ALKYLAMINE,CERTIFIED
NSE-ISIN:INE150B01021,INE150B01021,ALKYLAMINE,CERTIFIED
NSE-ISIN:INE150B01039,INE150B01039,ALKYLAMINE,CERTIFIED
NSE-ISIN:INE418H01029,INE418H01029,ALLCARGO,CERTIFIED
NSE-ISIN:INE835G01018,INE835G01018,ALLDIGI,CERTIFIED
NSE-ISIN:INE835G01018,INE835G01018,ALLDIGI,CERTIFIED
NSE-ISIN:INE0GV601021,INE0GV601021,ALLTIME,CERTIFIED
NSE-ISIN:INE426A01027,INE426A01027,ALEMBICLTD,CERTIFIED
NSE-ISIN:INE326B01027,INE326B01027,ALMONDZ,CERTIFIED
NSE-ISIN:INE326B01035,INE326B01035,ALMONDZ,CERTIFIED
NSE-ISIN:INE270A01029,INE270A01029,ALOKINDS,CERTIFIED
NSE-ISIN:INE270A01011,INE270A01011,ALOKTEXT,CERTIFIED
NSE-ISIN:INE385I01010,INE385I01010,ALPA,CERTIFIED
NSE-ISIN:INE137C01018,INE137C01018,ALPHAGEO,CERTIFIED
NSE-ISIN:INE1JCQ01037,INE1JCQ01037,ALPINETEX,CERTIFIED
NSE-ISIN:INE093B01015,INE093B01015,ALPSINDUS,CERTIFIED
NSE-ISIN:INE200A01026,INE200A01026,GET&D,CERTIFIED
NSE-ISIN:INE058F01019,INE058F01019,ALUFLUOR,CERTIFIED
NSE-ISIN:INE121R01077,INE121R01077,AMAGI,CERTIFIED
NSE-ISIN:INE841D01013,INE841D01013,AMAL,CERTIFIED
NSE-ISIN:INE084K01015,INE084K01015,AMANTA,CERTIFIED
NSE-ISIN:INE787G01011,INE787G01011,AMAR,CERTIFIED
NSE-ISIN:INE885A01024,INE885A01024,AMARAJABAT,CERTIFIED
NSE-ISIN:INE885A01032,INE885A01032,ARE&M,CERTIFIED
NSE-ISIN:INE484D01012,INE484D01012,AMARJOTHI,CERTIFIED
NSE-ISIN:INE432A01017,INE432A01017,AMBALALSA,CERTIFIED
NSE-ISIN:INE371P01015,INE371P01015,AMBER,CERTIFIED
NSE-ISIN:INE792B01012,INE792B01012,AMBICAAGAR,CERTIFIED
NSE-ISIN:INE540G01014,INE540G01014,AMBIKCO,CERTIFIED
NSE-ISIN:INE079A01024,INE079A01024,AMBUJACEM,CERTIFIED
NSE-ISIN:INE005I01014,INE005I01014,AMDIND,CERTIFIED
NSE-ISIN:INE005I01014,INE005I01014,AMDIND,CERTIFIED
NSE-ISIN:INE00FF01025,INE00FF01025,ACUTAAS,CERTIFIED
NSE-ISIN:INE05TO01019,INE05TO01019,AEROPLANE,CERTIFIED
NSE-ISIN:INE606A01024,INE606A01024,AMJLAND,CERTIFIED
NSE-ISIN:INE004I01017,INE004I01017,ABHISHEK,CERTIFIED
NSE-ISIN:INE577F01018,INE577F01018,AMLSTEEL,CERTIFIED
NSE-ISIN:INE275D01022,INE275D01022,AMNPLST,CERTIFIED
NSE-ISIN:INE098F01015,INE098F01015,AMRUTANJAN,CERTIFIED
NSE-ISIN:INE098F01023,INE098F01023,AMRUTANJAN,CERTIFIED
NSE-ISIN:INE098F01031,INE098F01031,AMRUTANJAN,CERTIFIED
NSE-ISIN:INE130C01021,INE130C01021,AMTEKAUTO,CERTIFIED
NSE-ISIN:INE068D01021,INE068D01021,CASTEXTECH,CERTIFIED
NSE-ISIN:INE782A01015,INE782A01015,HITACHIHOM,CERTIFIED
NSE-ISIN:INE705C01012,INE705C01012,SHIVTEX,CERTIFIED
NSE-ISIN:INE618N01014,INE618N01014,ANANDAMRUB,CERTIFIED
NSE-ISIN:INE463V01026,INE463V01026,ANANDRATHI,CERTIFIED
NSE-ISIN:INE242C01024,INE242C01024,ANANTRAJ,CERTIFIED
NSE-ISIN:INE434A01013,INE434A01013,ANDHRABANK,CERTIFIED
NSE-ISIN:INE666E01012,INE666E01012,ANDHRACEMT,CERTIFIED
NSE-ISIN:INE435A01028,INE435A01028,ANDHRAPAP,CERTIFIED
NSE-ISIN:INE435A01051,INE435A01051,ANDHRAPAP,CERTIFIED
NSE-ISIN:INE715B01013,INE715B01013,ANDHRSUGAR,CERTIFIED
NSE-ISIN:INE715B01021,INE715B01021,ANDHRSUGAR,CERTIFIED
NSE-ISIN:INE449C01025,INE449C01025,ANDREWYU,CERTIFIED
NSE-ISIN:INE017D01010,INE017D01010,ANGIND,CERTIFIED
NSE-ISIN:INE732I01013,INE732I01013,ANGELBRKG,CERTIFIED
NSE-ISIN:INE732I01021,INE732I01021,ANGELONE,CERTIFIED
NSE-ISIN:INE732I01021,INE732I01021,ANGELONE,CERTIFIED
NSE-ISIN:INE017D01010,INE017D01010,ANGIND,CERTIFIED
NSE-ISIN:INE087B01017,INE087B01017,ANIKINDS,CERTIFIED
NSE-ISIN:INE106I01010,INE106I01010,ANKITMETAL,CERTIFIED
NSE-ISIN:INE02AR01019,INE02AR01019,ANMOL,CERTIFIED
NSE-ISIN:INE0MGM01017,INE0MGM01017,ANNAPURNA,CERTIFIED
NSE-ISIN:INE103001017,INE103001017,ANNU,CERTIFIED
NSE-ISIN:INE436A01026,INE436A01026,ANSALAPI,CERTIFIED
NSE-ISIN:INE030C01015,INE030C01015,ANSALBU,CERTIFIED
NSE-ISIN:INE880B01015,INE880B01015,ANSALHSG,CERTIFIED
NSE-ISIN:INE436A01026,INE436A01026,ANSALAPI,CERTIFIED
NSE-ISIN:INE436A01026,INE436A01026,ANSALAPI,CERTIFIED
NSE-ISIN:INE818A01017,INE818A01017,ANTELOPUS,CERTIFIED
NSE-ISIN:INE414B01021,INE414B01021,ANTGRAPHIC,CERTIFIED
NSE-ISIN:INE0CZ201020,INE0CZ201020,ANTHEM,CERTIFIED
NSE-ISIN:INE489G01022,INE489G01022,ANUHPHR,CERTIFIED
NSE-ISIN:INE294Z01018,INE294Z01018,ANUP,CERTIFIED
NSE-ISIN:INE930P01018,INE930P01018,ANURAS,CERTIFIED
NSE-ISIN:INE372A01015,INE372A01015,APARINDS,CERTIFIED
NSE-ISIN:INE071F01012,INE071F01012,APCL,CERTIFIED
NSE-ISIN:INE116A01016,INE116A01016,APCOTEXIND,CERTIFIED
NSE-ISIN:INE116A01024,INE116A01024,APCOTEXIND,CERTIFIED
NSE-ISIN:INE116A01032,INE116A01032,APCOTEXIND,CERTIFIED
NSE-ISIN:INE346W01013,INE346W01013,APEX,CERTIFIED
NSE-ISIN:INE878A01011,INE878A01011,GEPIL,CERTIFIED
NSE-ISIN:INE273A01015,INE273A01015,APLAB,CERTIFIED
NSE-ISIN:INE702C01019,INE702C01019,APLAPOLLO,CERTIFIED
NSE-ISIN:INE702C01027,INE702C01027,APLAPOLLO,CERTIFIED
NSE-ISIN:INE901L01018,INE901L01018,APLLTD,CERTIFIED
NSE-ISIN:INE713T01010,INE713T01010,APOLLO,CERTIFIED
NSE-ISIN:INE713T01028,INE713T01028,APOLLO,CERTIFIED
NSE-ISIN:INE437A01024,INE437A01024,APOLLOHOSP,CERTIFIED
NSE-ISIN:INE126J01016,INE126J01016,APOLLOPIPE,CERTIFIED
NSE-ISIN:INE865C01022,INE865C01022,BIRLAMONEY,CERTIFIED
NSE-ISIN:INE438A01022,INE438A01022,APOLLOTYRE,CERTIFIED
NSE-ISIN:INE451F01016,INE451F01016,APOLSINHOT,CERTIFIED
NSE-ISIN:INE451F01024,INE451F01024,APOLSINHOT,CERTIFIED
NSE-ISIN:INE217S01014,INE217S01014,APOORVA,CERTIFIED
NSE-ISIN:INE435A01028,INE435A01028,IPAPPM,CERTIFIED
NSE-ISIN:INE266F01018,INE266F01018,APTECHT,CERTIFIED
NSE-ISIN:INE852O01025,INE852O01025,APTUS,CERTIFIED
NSE-ISIN:INE544K01026,INE544K01026,AQUA,CERTIFIED
NSE-ISIN:INE416A01051,INE416A01051,AQYLON,CERTIFIED
NSE-ISIN:INE877I01016,INE877I01016,ARCHIDPLY,CERTIFIED
NSE-ISIN:INE731A01020,INE731A01020,ARCHIES,CERTIFIED
NSE-ISIN:INE372M01010,INE372M01010,ARCL,CERTIFIED
NSE-ISIN:INE574I01035,INE574I01035,ARCOTECH,CERTIFIED
NSE-ISIN:INE0XNF01022,INE0XNF01022,ARDEE,CERTIFIED
NSE-ISIN:INE885A01032,INE885A01032,ARE&M,CERTIFIED
NSE-ISIN:INE610C01014,INE610C01014,ARENTERP,CERTIFIED
NSE-ISIN:INE200A01026,INE200A01026,AREVAT&D,CERTIFIED
NSE-ISIN:INE200A01026,INE200A01026,ALSTOMT&D,CERTIFIED
NSE-ISIN:INE784R01023,INE784R01023,ARFIN,CERTIFIED
NSE-ISIN:INE737B01033,INE737B01033,SPHEREGSL,CERTIFIED
NSE-ISIN:INE298I01015,INE298I01015,ARIES,CERTIFIED
NSE-ISIN:INE413D01011,INE413D01011,ARIHANT,CERTIFIED
NSE-ISIN:INE420B01036,INE420B01036,ARIHANTCAP,CERTIFIED
NSE-ISIN:INE643K01018,INE643K01018,ARIHANTSUP,CERTIFIED
NSE-ISIN:INE0H9P01028,INE0H9P01028,ARIS,CERTIFIED
NSE-ISIN:INE0H9P01028,INE0H9P01028,ARIS,CERTIFIED
NSE-ISIN:INE0QRL01017,INE0QRL01017,ARKADE,CERTIFIED
NSE-ISIN:INE211C01029,INE211C01029,ARL,CERTIFIED
NSE-ISIN:INE109C01017,INE109C01017,ARMANFIN,CERTIFIED
NSE-ISIN:INE210C01013,INE210C01013,AROGRANITE,CERTIFIED
NSE-ISIN:INE570D01018,INE570D01018,ARROWGREEN,CERTIFIED
NSE-ISIN:INE570D01018,INE570D01018,ARROWGREEN,CERTIFIED
NSE-ISIN:INE124G01033,INE124G01033,DELTACORP,CERTIFIED
NSE-ISIN:INE933J01015,INE933J01015,ARROWTEX,CERTIFIED
NSE-ISIN:INE968D01022,INE968D01022,ARSHIYA,CERTIFIED
NSE-ISIN:INE549H01021,INE549H01021,ARSSBL,CERTIFIED
NSE-ISIN:INE267I01010,INE267I01010,ARSSINFRA,CERTIFIED
NSE-ISIN:INE025R01013,INE025R01013,ARTEMISMED,CERTIFIED
NSE-ISIN:INE025R01021,INE025R01021,ARTEMISMED,CERTIFIED
NSE-ISIN:INE738V01013,INE738V01013,ARTNIRMAN,CERTIFIED
NSE-ISIN:INE006Z01016,INE006Z01016,ARVEE,CERTIFIED
NSE-ISIN:INE034A01011,INE034A01011,ARVIND,CERTIFIED
NSE-ISIN:INE955V01021,INE955V01021,ARVINDFASN,CERTIFIED
NSE-ISIN:INE034A01011,INE034A01011,ARVIND,CERTIFIED
NSE-ISIN:INE034S01021,INE034S01021,ARVSMART,CERTIFIED
NSE-ISIN:INE034S01021,INE034S01021,ARVSMART,CERTIFIED
NSE-ISIN:INE032E01017,INE032E01017,ARYAMAN,CERTIFIED
NSE-ISIN:INE439A01020,INE439A01020,ASAHIINDIA,CERTIFIED
NSE-ISIN:INE228I01012,INE228I01012,ASAHISONG,CERTIFIED
NSE-ISIN:INE900C01027,INE900C01027,ASAL,CERTIFIED
NSE-ISIN:INE073G01016,INE073G01016,ASALCBR,CERTIFIED
NSE-ISIN:INE348A01023,INE348A01023,ASHAPURMIN,CERTIFIED
NSE-ISIN:INE714F01033,INE714F01033,ASHCONIUL,CERTIFIED
NSE-ISIN:INE365D01013,INE365D01013,ASHIANA,CERTIFIED
NSE-ISIN:INE365D01021,INE365D01021,ASHIANA,CERTIFIED
NSE-ISIN:INE094B01013,INE094B01013,ASHIKAG,CERTIFIED
NSE-ISIN:INE094B01013,INE094B01013,ASHIKAG,CERTIFIED
NSE-ISIN:INE440A01010,INE440A01010,ASHIMASYN,CERTIFIED
NSE-ISIN:INE442H01011,INE442H01011,ASHOKA,CERTIFIED
NSE-ISIN:INE442H01029,INE442H01029,ASHOKA,CERTIFIED
NSE-ISIN:INE760Y01011,INE760Y01011,ASHOKAMET,CERTIFIED
NSE-ISIN:INE208A01029,INE208A01029,ASHOKLEY,CERTIFIED
NSE-ISIN:INE276G01015,INE276G01015,ASIANENE,CERTIFIED
NSE-ISIN:INE363A01022,INE363A01022,ASIANHOTNR,CERTIFIED
NSE-ISIN:INE021A01018,INE021A01018,ASIANPAINT,CERTIFIED
NSE-ISIN:INE021A01026,INE021A01026,ASIANPAINT,CERTIFIED
NSE-ISIN:INE022I01019,INE022I01019,ASIANTILES,CERTIFIED
NSE-ISIN:INE822B01017,INE822B01017,ASIANTNE,CERTIFIED
NSE-ISIN:INE988A01026,INE988A01026,ASIL,CERTIFIED
NSE-ISIN:INE491J01022,INE491J01022,ASKAUTOLTD,CERTIFIED
NSE-ISIN:INE855F01042,INE855F01042,ASMS,CERTIFIED
NSE-ISIN:INE991I01015,INE991I01015,ASPINWALL,CERTIFIED
NSE-ISIN:INE442A01024,INE442A01024,ASSAMCO,CERTIFIED
NSE-ISIN:INE165G01010,INE165G01010,ASSAMENT,CERTIFIED
NSE-ISIN:INE194D01017,INE194D01017,ASTAR,CERTIFIED
NSE-ISIN:INE563J01010,INE563J01010,ASTEC,CERTIFIED
NSE-ISIN:INE914M01019,INE914M01019,ASTERDM,CERTIFIED
NSE-ISIN:INE900K01012,INE900K01012,ASTERSILI,CERTIFIED
NSE-ISIN:INE203A01020,INE203A01020,ASTRAZEN,CERTIFIED
NSE-ISIN:INE006I01020,INE006I01020,ASTRAL,CERTIFIED
NSE-ISIN:INE006I01046,INE006I01046,ASTRAL,CERTIFIED
NSE-ISIN:INE386C01029,INE386C01029,ASTRAMICRO,CERTIFIED
NSE-ISIN:INE203A01020,INE203A01020,ASTRAZEN,CERTIFIED
NSE-ISIN:INE646X01014,INE646X01014,ASTRON,CERTIFIED
NSE-ISIN:INE0ALR01029,INE0ALR01029,ATALREAL,CERTIFIED
NSE-ISIN:INE09KD01013,INE09KD01013,ATAM,CERTIFIED
NSE-ISIN:INE209A01019,INE209A01019,SUNDROP,CERTIFIED
NSE-ISIN:INE399L01023,INE399L01023,ATGL,CERTIFIED
