date,member_count,required_member_count,status
2013-01-22,24,200,BLOCKED
2013-01-23,24,200,BLOCKED
2013-01-24,24,200,BLOCKED
2013-01-25,24,200,BLOCKED
2013-01-28,24,200,BLOCKED
2013-01-29,24,200,BLOCKED
2013-01-30,24,200,BLOCKED
2013-01-31,24,200,BLOCKED
2013-02-01,24,200,BLOCKED
2013-02-04,24,200,BLOCKED
2013-02-05,24,200,BLOCKED
2013-02-06,24,200,BLOCKED
2013-02-07,24,200,BLOCKED
2013-02-08,24,200,BLOCKED
2013-02-11,24,200,BLOCKED
2013-02-12,24,200,BLOCKED
2013-02-13,24,200,BLOCKED
2013-02-14,24,200,BLOCKED
2013-02-15,24,200,BLOCKED
2013-02-18,24,200,BLOCKED
2013-02-19,24,200,BLOCKED
2013-02-20,24,200,BLOCKED
2013-02-21,24,200,BLOCKED
2013-02-22,24,200,BLOCKED
2013-02-25,24,200,BLOCKED
2013-02-26,24,200,BLOCKED
2013-02-27,24,200,BLOCKED
2013-02-28,24,200,BLOCKED
2013-03-01,24,200,BLOCKED
2013-03-04,24,200,BLOCKED
2013-03-05,24,200,BLOCKED
2013-03-06,24,200,BLOCKED
2013-03-07,24,200,BLOCKED
2013-03-08,24,200,BLOCKED
2013-03-11,24,200,BLOCKED
2013-03-12,24,200,BLOCKED
2013-03-13,24,200,BLOCKED
2013-03-14,24,200,BLOCKED
2013-03-15,24,200,BLOCKED
2013-03-18,24,200,BLOCKED
2013-03-19,25,200,BLOCKED
2013-03-20,25,200,BLOCKED
2013-03-21,25,200,BLOCKED
2013-03-22,25,200,BLOCKED
2013-03-25,25,200,BLOCKED
2013-03-26,25,200,BLOCKED
2013-03-28,25,200,BLOCKED
2013-04-01,34,200,BLOCKED
2013-04-02,34,200,BLOCKED
2013-04-03,34,200,BLOCKED
2013-04-04,34,200,BLOCKED
2013-04-05,34,200,BLOCKED
2013-04-08,34,200,BLOCKED
2013-04-09,34,200,BLOCKED
2013-04-10,34,200,BLOCKED
2013-04-11,34,200,BLOCKED
2013-04-12,34,200,BLOCKED
2013-04-15,34,200,BLOCKED
2013-04-16,34,200,BLOCKED
2013-04-17,35,200,BLOCKED
2013-04-18,35,200,BLOCKED
2013-04-22,35,200,BLOCKED
2013-04-23,35,200,BLOCKED
2013-04-25,35,200,BLOCKED
2013-04-26,35,200,BLOCKED
2013-04-29,35,200,BLOCKED
2013-04-30,35,200,BLOCKED
2013-05-02,35,200,BLOCKED
2013-05-03,35,200,BLOCKED
2013-05-06,35,200,BLOCKED
2013-05-07,35,200,BLOCKED
2013-05-08,35,200,BLOCKED
2013-05-09,35,200,BLOCKED
2013-05-10,35,200,BLOCKED
2013-05-13,35,200,BLOCKED
2013-05-14,35,200,BLOCKED
2013-05-15,35,200,BLOCKED
2013-05-16,35,200,BLOCKED
2013-05-17,35,200,BLOCKED
2013-05-20,35,200,BLOCKED
2013-05-21,35,200,BLOCKED
2013-05-22,35,200,BLOCKED
2013-05-23,35,200,BLOCKED
2013-05-24,35,200,BLOCKED
2013-05-27,35,200,BLOCKED
2013-05-28,35,200,BLOCKED
