period,evidence_type,snapshot_member_count,status,qa_note
2021-08,OFFICIAL_MONTHLY_WEIGHTAGE,199,BLOCKED,missing or non-200 official checkpoint
2021-09,OFFICIAL_MONTHLY_WEIGHTAGE,199,BLOCKED,missing or non-200 official checkpoint
2021-10,OFFICIAL_MONTHLY_WEIGHTAGE,199,BLOCKED,missing or non-200 official checkpoint
2021-11,OFFICIAL_MONTHLY_WEIGHTAGE,199,BLOCKED,missing or non-200 official checkpoint
2021-12,OFFICIAL_MONTHLY_WEIGHTAGE,199,BLOCKED,missing or non-200 official checkpoint
2022-01,OFFICIAL_MONTHLY_WEIGHTAGE,199,BLOCKED,missing or non-200 official checkpoint
2022-02,OFFICIAL_MONTHLY_WEIGHTAGE,199,BLOCKED,missing or non-200 official checkpoint
2022-03,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2022-04,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2022-05,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2022-06,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2022-07,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2022-08,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2022-09,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2022-10,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2022-11,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2022-12,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2023-01,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2023-02,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2023-03,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2023-04,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2023-05,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2023-06,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2023-07,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2023-08,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2023-09,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2023-10,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2023-11,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2023-12,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2024-01,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2024-02,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2024-03,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2024-04,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2024-05,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2024-06,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2024-07,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2024-08,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2024-09,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2024-10,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2024-11,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2024-12,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2025-01,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2025-02,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2025-03,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2025-04,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2025-05,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2025-06,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2025-07,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
